AT1G01010.1,AT1G01010.1-Protein;	Chr1	[(3760, 3913), (3996, 4276), (4486, 4605), (4706, 5095), (5174, 5326), (5439, 5630)]
AT1G01040.1,AT1G01040.1-Protein;	Chr1	[(23519, 24451), (24542, 24655), (24752, 24962), (25041, 25435), (25524, 25743), (25825, 25997), (26081, 26203), (26292, 26452), (26543, 26776), (26862, 27012), (27099, 27281), (27372, 27533), (27618, 27713), (27803, 28431), (28708, 28805), (28890, 29080), (29160, 30065), (30147, 30311), (30410, 30816), (30902, 31079)]
AT1G01040.2,AT1G01040.2-Protein;	Chr1	[(23519, 24451), (24542, 24655), (24752, 24962), (25041, 25435), (25524, 25743), (25825, 25997), (26081, 26203), (26292, 26452), (26543, 26776), (26862, 27012), (27099, 27281), (27372, 27536), (27618, 27713), (27803, 28431), (28708, 28805), (28890, 29080), (29160, 30065), (30147, 30311), (30410, 30816), (30902, 31079)]
AT1G01073.1,AT1G01073.1-Protein;	Chr1	[(44677, 44787)]
AT1G01110.1,AT1G01110.1-Protein;	Chr1	[(53022, 53183), (53484, 53624), (53703, 54494)]
AT1G01110.2,AT1G01110.2-Protein;	Chr1	[(52239, 52346), (52434, 52730), (52938, 53183), (53484, 53624), (53703, 54494)]
AT1G01115.1,AT1G01115.1-Protein;	Chr1	[(56624, 56740)]
AT1G01160.1,AT1G01160.1-Protein;	Chr1	[(72583, 72669), (73087, 73163), (73287, 73395), (73488, 73740), (73822, 73883)]
AT1G01160.2,AT1G01160.2-Protein;	Chr1	[(72583, 72669), (72915, 73016), (73087, 73163), (73287, 73395), (73488, 73740), (73822, 73883)]
AT1G01180.1,AT1G01180.1-Protein;	Chr1	[(75633, 76556)]
AT1G01210.1,AT1G01210.1-Protein;	Chr1	[(88977, 89081), (89173, 89263), (89405, 89529)]
AT1G01220.1,AT1G01220.1-Protein;	Chr1	[(91750, 92070), (92270, 92501), (92569, 92933), (93045, 93171), (93271, 94281), (94357, 95075), (95160, 95552)]
AT1G01225.1,AT1G01225.1-Protein;	Chr1	[(96064, 96157), (96554, 97242)]
AT1G01230.1,AT1G01230.1-Protein;	Chr1	[(97620, 97805), (98457, 98605), (98908, 99046)]
AT1G01240.1,AT1G01240.1-Protein;	Chr1	[(100683, 101678)]
AT1G01240.2,AT1G01240.2-Protein;	Chr1	[(100683, 101678)]
AT1G01240.3,AT1G01240.3-Protein;	Chr1	[(100683, 101678)]
AT1G01260.1,AT1G01260.1-Protein;	Chr1	[(109595, 111367)]
AT1G01260.2,AT1G01260.2-Protein;	Chr1	[(109595, 111367)]
AT1G01260.3,AT1G01260.3-Protein;	Chr1	[(109595, 111367)]
AT1G01280.1,AT1G01280.1-Protein;	Chr1	[(112290, 113195), (113279, 113905)]
AT1G01290.1,AT1G01290.1-Protein;	Chr1	[(114299, 114433), (114619, 115296)]
AT1G01290.2,AT1G01290.2-Protein;	Chr1	[(114299, 114433), (114619, 115296)]
AT1G01300.1,AT1G01300.1-Protein;	Chr1	[(117065, 118522)]
AT1G01305.1,AT1G01305.1-Protein;	Chr1	[(119429, 119854)]
AT1G01310.1,AT1G01310.1-Protein;	Chr1	[(120221, 120946)]
AT1G01350.1,AT1G01350.1-Protein;	Chr1	[(136732, 136816), (136935, 137758), (137848, 137970)]
AT1G01355.1,AT1G01355.1-Protein;	Chr1	[(138513, 138541), (138597, 138778), (138863, 139114), (139203, 139345), (139488, 139568)]
AT1G01360.1,AT1G01360.1-Protein;	Chr1	[(142138, 142281), (142424, 142639), (142711, 142914)]
AT1G01370.1,AT1G01370.1-Protein;	Chr1	[(143773, 143824), (143934, 143977), (144064, 144109), (144193, 144227), (144315, 144351), (144447, 144559), (144927, 145004), (145132, 145207), (145345, 145400)]
AT1G01370.2,AT1G01370.2-Protein;	Chr1	[(143773, 143824), (143934, 143977), (144064, 144109), (144193, 144227), (144315, 144351), (144447, 144559), (144927, 145004), (145132, 145207), (145345, 145400)]
AT1G01380.1,AT1G01380.1-Protein;	Chr1	[(147267, 147333), (147452, 147539), (147644, 147740)]
AT1G01410.1,AT1G01410.1-Protein;	Chr1	[(153113, 154198)]
AT1G01460.1,AT1G01460.1-Protein;	Chr1	[(169115, 169257), (169347, 169509), (169600, 169710), (169806, 169993), (170071, 170162), (170266, 170313), (170412, 170507), (170622, 170760), (170851, 171154)]
AT1G01471.1,AT1G01471.1-Protein;	Chr1	[(173251, 173466)]
AT1G01480.1,AT1G01480.1-Protein;	Chr1	[(175862, 176032), (176207, 176338), (176592, 176752), (177025, 178051)]
AT1G01480.2,AT1G01480.2-Protein;	Chr1	[(176607, 176752), (177025, 178051)]
AT1G01500.1,AT1G01500.1-Protein;	Chr1	[(185260, 186009), (186340, 186573)]
AT1G01510.1,AT1G01510.1-Protein;	Chr1	[(187235, 187822), (188011, 188176), (188284, 188414), (188529, 189320), (189417, 189464), (189562, 189675), (189765, 189836)]
AT1G01520.1,AT1G01520.1-Protein;	Chr1	[(190596, 190828), (190941, 190998), (191138, 191258), (191341, 191475), (191579, 191692), (191780, 191889), (191967, 192026), (192107, 192139)]
AT1G01540.1,AT1G01540.1-Protein;	Chr1	[(195980, 196542), (197115, 197219), (197300, 197422), (197501, 197671), (197775, 197973)]
AT1G01540.2,AT1G01540.2-Protein;	Chr1	[(195980, 196542), (197115, 197219), (197300, 197422), (197501, 197671), (197775, 197904), (197974, 198183), (198267, 198383)]
AT1G01550.1,AT1G01550.1-Protein;	Chr1	[(200526, 201575)]
AT1G01550.2,AT1G01550.2-Protein;	Chr1	[(200526, 201575)]
AT1G01560.1,AT1G01560.1-Protein;	Chr1	[(202345, 202508), (202782, 202911), (202991, 203128), (203267, 203662)]
AT1G01560.2,AT1G01560.2-Protein;	Chr1	[(202345, 202508), (202782, 202911), (202991, 203128), (203267, 203599), (203760, 203943), (204029, 204189)]
AT1G01570.1,AT1G01570.1-Protein;	Chr1	[(205176, 205949), (206692, 207243), (207325, 207435)]
AT1G01580.1,AT1G01580.1-Protein;	Chr1	[(209395, 209608), (209764, 209866), (209950, 210144), (210385, 210619), (211052, 211379), (211474, 211717), (211855, 212573), (212671, 212810)]
AT1G01590.1,AT1G01590.1-Protein;	Chr1	[(214229, 214406), (214480, 214582), (214697, 214897), (215317, 215554), (215633, 215960), (216044, 216293), (216414, 217090), (217165, 217304)]
AT1G01600.1,AT1G01600.1-Protein;	Chr1	[(219200, 219621), (219752, 220994)]
AT1G01630.1,AT1G01630.1-Protein;	Chr1	[(229206, 229343), (229429, 229724), (229829, 229934), (230349, 230459), (230559, 230675)]
AT1G01690.1,AT1G01690.1-Protein;	Chr1	[(249242, 249306), (249543, 249693), (249774, 249930), (250017, 250151), (250536, 250588), (250669, 250863), (251004, 251066), (251143, 251184), (251260, 251316), (251399, 251440), (251539, 251594), (251680, 251827), (251922, 252006), (252121, 252221)]
AT1G01695.1,AT1G01695.1-Protein;	Chr1	[(252947, 253457), (253531, 253679), (253775, 253874), (253954, 254495)]
AT1G01710.1,AT1G01710.1-Protein;	Chr1	[(262950, 262965), (263047, 263139), (263232, 263299), (263369, 263444), (263526, 263572), (263645, 263770), (263857, 263934), (264073, 264160), (264280, 264392), (264520, 264582), (264657, 264712), (264797, 264901), (265021, 265077), (265336, 265437), (265578, 265626), (265777, 265845), (265952, 266029)]
AT1G01720.1,AT1G01720.1-Protein;	Chr1	[(268471, 268630), (268717, 268994), (269083, 269514)]
