AT1G01020.1,AT1G01020.1-Protein;	Chr1	[(8571, 8666), (8417, 8464), (8236, 8325), (7942, 7987), (7762, 7835), (7564, 7649), (7384, 7450), (7157, 7232), (6915, 7069)]
AT1G01020.2,AT1G01020.2-Protein;	Chr1	[(8571, 8666), (8417, 8464), (8236, 8325), (7942, 7987), (7762, 7835), (7564, 7649), (7315, 7450)]
AT1G01030.1,AT1G01030.1-Protein;	Chr1	[(11864, 12940)]
AT1G01050.1,AT1G01050.1-Protein;	Chr1	[(32547, 32670), (32431, 32459), (32282, 32347), (32088, 32195), (31933, 31998), (31693, 31813), (31521, 31602), (31382, 31424)]
AT1G01060.1,AT1G01060.1-Protein;	Chr1	[(37023, 37061), (36810, 36921), (36624, 36685), (35730, 35963), (35567, 35647), (34401, 35474), (33992, 34327)]
AT1G01060.2,AT1G01060.2-Protein;	Chr1	[(37023, 37061), (36810, 36921), (36624, 36685), (35730, 35963), (35567, 35647), (34401, 35474), (33992, 34327)]
AT1G01060.3,AT1G01060.3-Protein;	Chr1	[(37023, 37061), (36810, 36921), (36624, 36685), (35730, 35963), (35567, 35647), (34401, 35474), (33992, 34327)]
AT1G01060.4,AT1G01060.4-Protein;	Chr1	[(37023, 37061), (36810, 36921), (36624, 36685), (35730, 35963), (35567, 35647), (34401, 35471), (33992, 34327)]
AT1G01060.5,AT1G01060.5-Protein;	Chr1	[(36810, 36836), (36624, 36685), (36090, 36171), (35730, 35999), (35567, 35647), (34401, 35474), (33992, 34327)]
AT1G01070.1,AT1G01070.1-Protein;	Chr1	[(40675, 40877), (40473, 40535), (40213, 40329), (39409, 39814), (39136, 39287), (38898, 39054)]
AT1G01070.2,AT1G01070.2-Protein;	Chr1	[(40473, 40597), (40213, 40329), (39409, 39814), (39136, 39287), (38898, 39054)]
AT1G01080.1,AT1G01080.1-Protein;	Chr1	[(46376, 46789), (46044, 46145), (45646, 45954), (45503, 45559)]
AT1G01080.2,AT1G01080.2-Protein;	Chr1	[(46373, 46789), (46044, 46145), (45646, 45954), (45503, 45559)]
AT1G01090.1,AT1G01090.1-Protein;	Chr1	[(48936, 49166), (48075, 48852), (47705, 47982)]
AT1G01100.1,AT1G01100.1-Protein;	Chr1	[(50883, 50954), (50419, 50631), (50284, 50337)]
AT1G01100.2,AT1G01100.2-Protein;	Chr1	[(50883, 50954), (50419, 50631), (50284, 50337)]
AT1G01100.3,AT1G01100.3-Protein;	Chr1	[(50883, 50954), (50496, 50631), (50419, 50447), (50284, 50337)]
AT1G01100.4,AT1G01100.4-Protein;	Chr1	[(50883, 50954), (50419, 50631), (50284, 50337)]
AT1G01120.1,AT1G01120.1-Protein;	Chr1	[(57392, 58978)]
AT1G01130.1,AT1G01130.1-Protein;	Chr1	[(63557, 63811), (62050, 62124), (61905, 61949)]
AT1G01140.1,AT1G01140.1-Protein;	Chr1	[(67324, 67512), (66835, 66897), (66678, 66749), (66450, 66557), (66262, 66342), (66107, 66160), (65739, 65864), (65563, 65652), (65331, 65456), (65110, 65217), (64901, 65017), (64751, 64807), (64582, 64656), (64398, 64475)]
AT1G01140.2,AT1G01140.2-Protein;	Chr1	[(67324, 67512), (66835, 66897), (66678, 66749), (66450, 66557), (66262, 66342), (66107, 66160), (65733, 65864), (65563, 65652), (65331, 65456), (65110, 65217), (64901, 65017), (64751, 64807), (64582, 64656), (64398, 64475)]
AT1G01140.3,AT1G01140.3-Protein;	Chr1	[(67324, 67512), (66835, 66897), (66678, 66749), (66450, 66557), (66262, 66342), (66107, 66160), (65739, 65864), (65563, 65652), (65331, 65456), (65110, 65217), (64901, 65017), (64751, 64807), (64570, 64656), (64398, 64475)]
AT1G01150.1,AT1G01150.1-Protein;	Chr1	[(71942, 71998), (71041, 71721), (70840, 70968), (70115, 70285)]
AT1G01170.1,AT1G01170.1-Protein;	Chr1	[(74338, 74443), (74105, 74250)]
AT1G01170.2,AT1G01170.2-Protein;	Chr1	[(74338, 74443), (74105, 74250)]
AT1G01190.1,AT1G01190.1-Protein;	Chr1	[(83884, 84864), (83045, 83671)]
AT1G01200.1,AT1G01200.1-Protein;	Chr1	[(87880, 88145), (86715, 87162)]
AT1G01250.1,AT1G01250.1-Protein;	Chr1	[(104731, 105309)]
AT1G01320.1,AT1G01320.1-Protein;	Chr1	[(130039, 130099), (129853, 129914), (128968, 129060), (128479, 128551), (128028, 128312), (127868, 127935), (127651, 127782), (127532, 127573), (126935, 127453), (126686, 126840), (126076, 126589), (125936, 125998), (125742, 125843), (125329, 125655), (125134, 125226), (124921, 125046), (124714, 124818), (124499, 124632), (124211, 124394), (123992, 124123), (123785, 123897), (123579, 123669), (121582, 123501)]
AT1G01320.2,AT1G01320.2-Protein;	Chr1	[(130039, 130099), (129853, 129914), (128968, 129060), (128479, 128551), (128028, 128312), (127868, 127935), (127651, 127782), (127532, 127573), (126935, 127453), (126686, 126840), (126076, 126589), (125936, 125998), (125742, 125843), (125329, 125655), (125134, 125226), (124921, 125022), (124714, 124818), (124499, 124632), (124211, 124394), (123992, 124123), (123785, 123897), (123579, 123669), (121582, 123495)]
AT1G01340.1,AT1G01340.1-Protein;	Chr1	[(134582, 135118), (134289, 134501), (133911, 134206), (133641, 133752), (133303, 133539), (132824, 133218), (132414, 132744)]
AT1G01340.2,AT1G01340.2-Protein;	Chr1	[(135188, 135216), (134582, 135104), (134289, 134501), (133911, 134206), (133641, 133752), (133303, 133539), (132824, 133218), (132414, 132744)]
AT1G01390.1,AT1G01390.1-Protein;	Chr1	[(148319, 149761)]
AT1G01400.1,AT1G01400.1-Protein;	Chr1	[(152086, 152149), (151932, 152002), (151393, 151731), (151158, 151298)]
AT1G01420.1,AT1G01420.1-Protein;	Chr1	[(154566, 156011)]
AT1G01430.1,AT1G01430.1-Protein;	Chr1	[(158254, 158536), (157829, 158112), (156953, 157756)]
AT1G01440.1,AT1G01440.1-Protein;	Chr1	[(160568, 162219), (160418, 160478), (160079, 160302), (159935, 159992)]
AT1G01450.1,AT1G01450.1-Protein;	Chr1	[(164105, 165517)]
AT1G01453.1,AT1G01453.1-Protein;	Chr1	[(167014, 167798), (166853, 166871)]
AT1G01453.2,AT1G01453.2-Protein;	Chr1	[(166929, 167798)]
AT1G01470.1,AT1G01470.1-Protein;	Chr1	[(172621, 172826), (172295, 172544)]
AT1G01490.1,AT1G01490.1-Protein;	Chr1	[(182061, 182066), (181347, 181422), (180401, 180852)]
AT1G01490.2,AT1G01490.2-Protein;	Chr1	[(182061, 182066), (181347, 181422), (180401, 180852)]
AT1G01530.1,AT1G01530.1-Protein;	Chr1	[(193351, 193662), (192640, 193071)]
AT1G01610.1,AT1G01610.1-Protein;	Chr1	[(223945, 224255), (223551, 223866), (222622, 223096), (221950, 222359)]
AT1G01620.1,AT1G01620.1-Protein;	Chr1	[(226849, 227176), (226396, 226691), (226171, 226311), (225986, 226081)]
AT1G01620.2,AT1G01620.2-Protein;	Chr1	[(226849, 226960), (226396, 226691), (226171, 226311), (225986, 226081)]
AT1G01640.1,AT1G01640.1-Protein;	Chr1	[(231784, 231915), (231164, 231655)]
AT1G01640.2,AT1G01640.2-Protein;	Chr1	[(231784, 231915), (231164, 231655)]
AT1G01650.1,AT1G01650.1-Protein;	Chr1	[(237504, 237647), (236865, 237023), (236673, 236784), (236429, 236548), (236145, 236296), (235845, 236027), (235718, 235752), (235198, 235360), (234935, 234988), (234529, 234621), (234250, 234392), (233548, 233618), (233387, 233470), (233188, 233297)]
AT1G01650.2,AT1G01650.2-Protein;	Chr1	[(236429, 236537), (236145, 236296), (235845, 236027), (235718, 235752), (235198, 235360), (234935, 234988), (234529, 234621), (234250, 234392), (233548, 233618), (233387, 233470), (233188, 233297)]
AT1G01660.1,AT1G01660.1-Protein;	Chr1	[(242449, 242608), (242214, 242290), (241983, 242113), (241805, 241909), (241539, 241719), (241306, 241443), (240960, 241226), (240744, 240884), (240352, 240672), (240057, 240242)]
AT1G01670.1,AT1G01670.1-Protein;	Chr1	[(245151, 245163), (244770, 244873), (244505, 244635), (244257, 244361), (244035, 244182), (243336, 243746), (242943, 243128)]
AT1G01680.1,AT1G01680.1-Protein;	Chr1	[(248191, 248329), (247577, 247680), (247362, 247492), (247167, 247268), (246949, 247078), (246731, 246853), (246411, 246608)]
AT1G01700.1,AT1G01700.1-Protein;	Chr1	[(261129, 261474), (260921, 261037), (260670, 260824), (260508, 260582), (260118, 260417), (259690, 260034), (259495, 259614)]
